,view_count,likes,dislikes,comment_count
1,2381688,146739,2794,16549
12,320872,14288,774,2085
71,1213314,64247,7181,5438
80,480485,30207,391,2967
101,2657891,154064,6509,21993
122,6453572,437366,4968,32225
128,13073796,1643982,16286,97749
130,2635254,73921,2694,3447
150,4945005,184836,4811,27254
190,1099782,64975,458,9386
209,2932421,153682,3281,17454
211,591575,88787,306,15720
220,5860120,287762,3938,26354
233,447290,15830,927,2389
272,249918,8488,196,1575
303,561323,32635,508,3197
305,1342788,67053,7685,5677
330,2771260,158113,6825,22751
350,6849965,447998,5171,33146
357,13552546,1675457,16830,98791
360,2837129,75410,2765,3525
381,5086981,187078,4859,27451
404,2234662,162565,17524,28904
419,159105,4142,695,852
448,6296792,296250,4169,26968
463,490817,16343,956,2425
479,309218,13677,83,676
503,264436,8724,202,1630
531,605040,33476,537,3293
557,2866658,161302,7049,23394
564,1420164,68283,7891,5733
569,7177871,457305,5342,33983
586,14004035,1706397,17294,100015
587,3070733,77541,2874,3612
603,2529608,157314,2994,19636
610,4084833,218200,48937,47961
613,409339,27216,317,6422
652,1302549,169479,486,27861
659,3312231,160542,3449,17968
664,1468141,79931,9819,7687
673,6662588,303629,4316,27259
691,528304,16863,981,2519
705,385137,15609,100,729
732,278786,8961,209,1659
753,628647,34055,577,3349
773,7570543,467207,5506,34533
782,2944969,163776,7224,23869
813,3074013,166131,3442,20910
828,1272966,87922,1292,10268
835,4736633,234144,59207,53772
841,545339,30579,415,7217
875,267010,5306,1126,1136
901,1557841,189649,526,30945
910,3387830,162409,3485,18059
917,1578821,82329,10085,7856
925,6843175,307908,4388,27347
935,427626,16618,120,759
944,561236,17548,995,2580
983,286992,9115,212,1681
1007,471152,17809,794,2209
1051,2058212,112372,1984,12040
1065,3450154,170671,3612,21367
1068,1623128,101995,1555,11690
1075,5112511,243637,63659,56725
1077,611193,32244,447,7663
1126,284773,5502,1188,1171
1151,1818035,206817,563,33569
1170,1660810,83664,10267,7946
1173,3482753,164558,3522,18117
1180,6995945,311656,4456,27408
1188,456698,17220,125,769
1194,613573,18458,1029,2635
1225,708830,21383,975,2624
